,Unnamed: 0,url,label,text
23,23,https://www.nytimes.com/2019/07/03/opinion/trump-supreme-court-census.html,0,"This article was updated to reflect news developments.

A cynic might say that with his two major decisions on the last day of the Supreme Court term a week ago, Chief Justice John Roberts saved both the Republican Party and the court — first by shutting the federal courts’ door to claims of partisan gerrymandering, a practice in which both political parties indulge but that Republicans have perfected to a high art, and then by refusing to swallow the Trump administration’s dishonest rationale for adding a citizenship question to the 2020 census.

President Trump, having placed two justices on the Supreme Court, had taken to treating the court as a wholly owned subsidiary, and not without some justification. It was the court, after all, in an opinion by Chief Justice Roberts, joined by the other four Republican-appointed justices, that saved the president’s Muslim travel ban a year ago. But the chief justice’s opinion in the census case last week blew a hole in what appeared to be a protective firewall that the president can no longer take for granted.

I’m not joining the cynics, especially now that the citizenship question is dead — or so it seemed on Tuesday, based on the Justice Department’s assertion to the federal district judge handling a companion case in Maryland that the census forms were being printed without the citizenship question. On Wednesday, a furious President Trump ordered the Justice Department to reverse course; what followed was a telephone colloquy between that federal judge, George Hazel, and the lawyers for which the word bizarre is a breathtaking understatement. “I can’t possibly predict at this juncture what exactly is going to happen,” Joshua Gardner, a Justice Department lawyer, told the judge, who gave the administration until Friday afternoon to get its story straight.

It would take a heart of stone not to feel sorry for the administration’s lawyers, faced with defending the indefensible. As they recognized 24 hours earlier, the chief justice’s opinion in fact left no wiggle room. Once the behavior of Wilbur Ross, the secretary of commerce, was called out by the Supreme Court of the United States, the president was trapped — and now his lawyers are caught in his net. Maybe they can find a way around the chief justice’s decision, but I don’t think so."
25,25,https://www.nytimes.com/2019/07/03/opinion/trump-parade-fourth-of-july.html?action=click&module=Opinion&pgtype=Homepage,0,"Happy Fourth of July, everybody. I want you to have a great day. No moaning about the state of the nation.

Don’t obsess about Donald Trump! It’s true he thought watching a bunch of tanks roll through Washington, D.C., would be a great way of celebrating our national character. Fortunately, it turned out the city streets couldn’t support his vision. The military came up with a compromise, dragging in tanks and other tanklike vehicles on flatbed trucks, in a very expensive show totally unrelated to their actual function.

Some people might think of this as a metaphor for the whole Trump administration. Feel free. It’s Independence Day.

This is a moment when we’re meant to think about our founding fathers, and it’s good to remember the warts along with the heroics. We celebrate Thomas Jefferson as the author of the Declaration of Independence, who risked everything to throw off the yoke of British tyranny. But he was also a rich kid who inherited a fortune from his father and then lost most of it due to business ineptitude."
29,29,https://www.nytimes.com/2019/07/07/world/middleeast/iran-nuclear-limits-breach.html?action=click&module=Top%20Stories&pgtype=Homepage,0,"Iran said on Sunday that within hours it would breach the limits on uranium enrichment set four years ago in an accord with the United States and other international powers that was designed to keep Tehran from producing a nuclear weapon.

The latest move inches Iran closer to where it was before the accord: on the path to being able to produce an atomic bomb.

President Trump withdrew the United States from the accord last year and in May dealt a crippling blow to Iran’s economy by implementing sanctions intended to cut off its oil sales any where in the world.

In recent weeks, Tehran has retaliated by making deliberate but provocative violations of the accord as part of a carefully calibrated campaign to pressure the West into eliminating sanctions that have slashed the country’s oil exports and crippled its economy."
39,39,"https://www.nytimes.com/2019/07/07/us/politics/census-citizenship-question-justice-department.html?action=click&module=Top%20Stories&pgtype=Homepage
https://www.usatoday.com/story/news/politics/2019/07/07/2020-census-doj-appoints-new-team-lawyers-citizenship-push/1670638001/",0,"WASHINGTON — The Justice Department announced on Sunday that it was replacing the legal team defending the Trump administration’s effort to place a citizenship question on the next census, a change that is all but unprecedented in legal battles as consequential as the one over the 2020 head count.

The department said in a statement that it was “shifting these matters to a new team of Civil Division lawyers going forward.” It offered no explanation for the en masse change, which came on the heels of an extraordinary week in a yearlong clash over the issue that has raised concerns about whether the department’s arguments for adding the question could be believed.

And it strongly suggested that the department’s career lawyers had decided to quit a case that at the least seemed to lack a legal basis, and at most left them defending statements that could well turn out to be untrue.

“There is no reason they would be taken off that case unless they saw what was coming down the road and said, ‘I won’t sign my name to that,’” Justin Levitt, a former senior official in the Justice Department under President Barack Obama, said on Sunday."
42,42,"http://www.cnn.com/2012/09/18/politics/campaign-ads-swing-states/index.html?hpt=po_t1
http://www.nytimes.com/2012/09/23/magazine/nate-silver-solves-the-swing-state-puzzle.html?ref=politics",0,"Story highlights For swing state voters, it's the tone not the number of ads that have them frustrated The negativity of the ads and their ""school yard jabs,"" are what bother battleground state voters The influx of outside spending, a Democratic political strategist says, contributes to the negative messaging But political strategists say that negative ads work, that's why they continue to air

Washington CNN —

If you live in a battleground state, chances are you’ve seen your share of political ads this election season. They come on during prime-time network TV, pop up while you’re cheering on the Buckeyes or the Broncos and they even get you when you’re cruising to your favorite station on the way to work.

The reason for such a concentrated air war is that voters in swing states like Colorado and Ohio could decide the election.

“A swing state is somewhere where there are persuadable voters,” said Democratic Strategist and partner at Blue Engine Message & Media, David Di Martino.

The ads air in those states because, Di Martino says, “It’s important to battle on the playing field that [those voters] are in.”

And that’s why in swing states, voters can say they’ve noticed an increase in the ads.

New Romney ads target voters’ emotions

“The frequency [of ads] is mind bending,” said Bill Stakelin, 69, a retired radio broadcast executive who lives in Cincinnati.

“[There are] a lot [of ads] - pretty much every other commercial it seems like,” said Erin Mahoney, 32, a Business Manager at Medical Marijuana Center in Frisco, Colorado.

Don’t look for the number of commercials to let up anytime soon.

There are different schools of thought on why and how often to show commercials, but they both agree that frequency works.

“The working principal is that every time that an ad runs, voters are seeing it for the first time,” said Keith Appell, a Republican strategist and senior vice president at CRC Public Relations. “There is a second working principal that voters need to see it three, four, five times for it to resonate.”

Obama ad argues economic progress under his tenure

But still, voters in these states say it’s the tone and content – or lack thereof – of ads that bothers them, not their frequency.

In Iowa for instance, medical student Katie Ryken, 23, says that voters in the state – which serves as the first caucus in the primary system – take pride in their important political position in the country and they are used to not only the attention, but the “barrage” of ads that stream across TV screens from Des Moines to Iowa City.

“We take it very seriously,” Ryken said. “But I think that I have noticed and what I think what bothers people is the overall negativity of the ads.”

“What’s frustrating to me I think that our general population is intelligent enough to absorb real issues,” Ryken continued, “and I think that it’s disappointing that candidates have to go to attack ads.”

Mahoney said the commercials she sees when she isn’t fast forwarding through them using her DVR are bothersome for the same reason.

“They really just kind of frustrate me because they say the same thing on both sides, Mahoney said. “One is that Obama hasn’t created jobs, the other is that Romney is shipping jobs overseas…it’s more school yard jabs [than substantive arguments].”

Romney ads focus back on economy

Stakelin said that both candidates have a similar message: “What [the other candidate] is going to do negative to you is to destroy you, your children and your country.”

That voters are seeing largely negative ads is true – and largely on purpose.

A CNN analysis of data from the Campaign Media Analysis Center, a non-partisan company that measures the content of political ads, shows that the majority of campaign ads shown across the country and in battleground state are negative.

Why? Because, political strategists from both parties say that negative ads work.

Crossroads’ six ads hit Obama, other Democratic candidates

“Every election you hear that there are too many negative ads,” said Appell, “And in every election they work. That’s why in every election you see negative ads.”

Di Martino says they work because voters remember the content of negative ads more than they remember the content of positive ads. But he also says that outside spending has caused the number of negative ads to increase in recent history.

“I think the fundamental thing that has changed in the last five to ten years is that more and more ads are not being sponsored by the campaigns … which are on the ballot,” said Di Martino.

The influx of spending by groups not associated with the campaigns, he says, “has made the tone of modern campaigns far more negative than they used to be.”

As a consumer and also as a retired broadcaster, Stakelin doesn’t think that the ads he’s seen in this election will prove effective.

“I think that if you’re a student of the ad game and politics,” said Stakelin “we’re going to be able to look at this election and see what was effective [with campaign ads]…That effectiveness is just not there.”

Advertising is done, Stakelin says, to plant a seed and get a reaction. But the negativity in the ads from both sides, “become a turnoff and they basically balance themselves out.”

The bottom line from political strategists, Appell says is “if they weren’t effective, campaigns wouldn’t run them.”"
55,55,https://www.nytimes.com/2019/07/08/opinion/epstein-indictment.html,0,"Editors’ note: Jeffrey Epstein hanged himself on Saturday in a Manhattan jail, according to corrections officials. This editorial was originally published in early July, and has been updated to reflect more recent events.

By apparently committing suicide in his Manhattan jail cell on Saturday morning, Jeffrey Epstein spared himself a lengthy trial that could have sent him to prison for the rest of his life on federal sex-trafficking charges.

Attorney General William Barr said the Justice Department’s inspector general would open an investigation into the circumstances of Mr. Epstein’s death in federal custody. While Mr. Epstein will never face a legal reckoning, the investigations into his crimes, and those of others connected to him, must continue. His premature death shouldn’t stop law enforcement authorities from finishing the job that they finally took up seriously years after they should have.

The evidence against Mr. Epstein was overwhelming, even more than a decade ago. But he evaded serious punishment then, thanks to a plea deal with federal prosecutors who later suggested they were too intimidated by Epstein’s legal team to seek more appropriate sanctions."
59,59,https://www.nytimes.com/2019/07/14/us/politics/trump-twitter-squad-congress.html,0,"WASHINGTON — President Trump said on Sunday that a group of four minority congresswomen feuding with Speaker Nancy Pelosi should “go back” to the countries they came from rather than “loudly and viciously telling the people of the United States” how to run the government.

Wrapped inside that insult, which was widely established as a racist trope, was a factually inaccurate claim: Only one of the lawmakers was born outside the country.

Even though Mr. Trump has repeatedly refused to back down from stoking racial divisions, his willingness to deploy a lowest-rung slur — one commonly and crudely used to single out the perceived foreignness of nonwhite, non-Christian people — was largely regarded as beyond the pale.

[Update: Four congresswomen denounce Trump after he says they hate America.]

“So interesting to see ‘Progressive’ Democrat Congresswomen, who originally came from countries whose governments are a complete and total catastrophe, the worst, most corrupt and inept anywhere in the world,” Mr. Trump wrote on Twitter, “now loudly and viciously telling the people of the United States, the greatest and most powerful Nation on earth, how our government is to be run.”"
86,86,https://www.nytimes.com/2019/07/14/opinion/trump-twitter-racism.html,0,"Donald Trump keeps trying to convince any disbelieving holdouts that he is a raging racist. At least, that’s how I imagine his motives. In truth, it is more likely that his truest nature is simply being revealed, again and again, and he is using his own racism to appeal to the racism in the people who support him.

On Sunday morning, the same day that the Trump administration earlier announced it would conduct raids to round up undocumented immigrants, Trump weighed in again on the conflict between four female freshmen congresswomen and House Speaker Nancy Pelosi, tweeting a series of three of the most racist tweets he could produce:

So interesting to see “Progressive” Democrat Congresswomen, who originally came from countries whose governments are a complete and total catastrophe, the worst, most corrupt and inept anywhere in the world (if they even have a functioning government at all), now loudly ...

... and viciously telling the people of the United States, the greatest and most powerful Nation on earth, how our government is to be run. Why don’t they go back and help fix the totally broken and crime infested places from which they came. Then come back and show us how. ...

... it is done. These places need your help badly, you can’t leave fast enough. I’m sure that Nancy Pelosi would be very happy to quickly work out free travel arrangements!"
144,144,https://www.nytimes.com/2019/07/31/us/politics/debate-joe-biden.html?action=click&module=Top%20Stories&pgtype=Homepage,0,"It was perhaps the most dramatic moment of the first presidential primary debates. “Senator Kamala Harris laced into Vice President Biden’s record on civil rights.” “We have to take it seriously. We have —” This was a searing exchange on race that put Biden on the defensive. “I’m the guy that extended the Voting Rights Act for 25 years.” And then, this happened: “I agree that everybody, once they in — anyway, my time’s up. I’m sorry.” “Thank you, vice president.” “This was a significant exchange for substantive reasons. But at a rhetorical level, Mr. Biden’s response was also revealing.” “Anyway, my time’s up. I’m sorry.” “Thank you, vice president.” Katie Glueck has been covering Biden for a while. “I have listened to dozens and dozens of Joe Biden speeches and have read all of his books as well. Use of the term ‘anyway’ is just one in a long list of what many folks refer to as Bidenisms. That is a reference to the distinctive way that Vice President Biden often speaks. Some Bidenisms include the term ‘anyway,’ ‘look folks,’ ‘here’s the deal,’ ‘I’m serious,’ ‘that’s not hyperbole,’ ‘not a joke.’” “Folks, we need to recognize that words matter.” “Mr. Biden entered the 2020 presidential campaign as the early poll leader. And his supporters love his folksy style. For others however, who are interested in a fresher face, the way that Mr. Biden speaks is another reminder that he came up in a different political generation.” “I announce my candidacy for president of the United States.” And if you’re a close observer of Mr. Biden’s speech patterns, you can detect a couple of different themes. “And folks. Folks. This election. It’s not hyperbole to suggest. This is not hyperbole. This election is literally bigger than politics. And that is not hyperbole.” “What he’s saying is, ‘This is important.’” “This is not hyperbole. It all may come down to Pennsylvania, not a joke. No, no, not a joke. Not a joke.” “And sometimes Mr. Biden just says it straight out.” “No, and I’m serious.” “I’m serious.” “I’m serious.” “So Vice President Biden would be the first to admit that he is not someone who always sticks to the script. He can be gaffe prone.” “The next president of the United States, Barack Amer—” “But he does pride himself on straight talk. When he uses phrases, like —” “Here’s the deal. Here’s the deal. Daughters always are wonderful. Well, here’s the deal, guys. Here’s the deal.” “What he’s saying is, ‘This is sincere.’ Biden has a decadeslong record in government and with that comes years of stories that he likes telling. The end result can sometimes be a little bit of meandering.” “And I really mean that. And I didn’t plan on going into that.” “And so if you listen closely —” “But I didn’t know that —” “He often uses the term ‘anyway’ to wrap it up or to get back on message.” “And so anyway, did I answer your question?” And certainly, Mr. Biden is not the only candidate to rely on a particular set of phrases. “Millionaires and billionaires.” But for Mr. Biden, his speech patterns go deeper. “Biden’s phrases are not tied to a particular policy prescription or even a particular political slogan.” And perhaps they speak to his roots. “Before he was vice president, Mr. Biden was for decades a senator from Delaware, which is a pretty small state. And some of his speaking mannerisms can in fact be viewed as a little bit of a reflection of the place where he actually did have that personal connection with so many people.” “Quite frankly, folks.” “If you are watching a public appearance from Joe Biden, you are virtually guaranteed to see him use at least one of these phrases.” [singing]"
153,153,https://www.nytimes.com/2019/08/06/books/toni-morrison-dead.html,0,"“I didn’t discover why I wrote really until later. At the very beginning, when I wrote the first book, ‘The Bluest Eye,’ I came at it as not a writer, but a reader. And such a story didn’t exist. Every little homely, black girl was a joke or didn’t exist in literature. And I was eager to read about a story where racism really hurts and can destroy you.” “You don’t think you will ever change and write books that incorporate white — white lives into them substantially?” “I have done.” “In a substantial way?” “You can’t understand how powerfully racist that question is, can you? As you could never ask a white author: ‘When are you going to write about black people?’” “Toni Morrison’s prose brings us that kind of moral and emotional intensity that few writers ever attempt. From ‘Song of Solomon’ to ‘Beloved,’ Toni reaches us deeply, using a tone that is lyrical, precise, distinct and inclusive.” “There would never have been a book club had there not been you as an author.” “Really?” “No. So I thank you, Ms. Morrison.” “This is fabulous.” “Yes — never would have been one without you. Never would have been.” “Well, you know, I’m trying not to write just because I can or just write more. I’m trying to write less that means more, that says more. For me it’s extremely important for the clarification not only of the past, but of who we are as human beings in this country.” “I was editing a book at Random House. And it was a kind of scrapbook of all sorts of things that emanated from African-American culture. And I came across this woman, Margaret Garner, and the story was that a slave woman had killed her children or tried to kill them all. What struck me was the theme was that she was not crazy. And they were stunned to find her A: articulate, B: sane and 3: interested in doing it again.” “I know how to write forever. I don’t think I could have happily stayed here with the calamity that has occurred so often in the world if I did not have a way of thinking about it, past, present, future, which is what writing is for me. It’s control. Nobody tells me what to do. I am in control. It is my world. It’s sometimes wild, the process by which I arrive at something. But nevertheless, it’s mine, it’s free and it’s a way of thinking. It’s pure knowledge. You’re welcome.”"
