,Left,Right,Center
0,"http://www.washingtonpost.com/blogs/the-fix/wp/2012/09/19/8-takeaways-from-the-nbc-wall-street-journal-poll/
http://politicalticker.blogs.cnn.com/2012/09/19/swing-state-poll-romney-favors-the-rich/?hpt=po_c1",http://www.washingtontimes.com/blog/inside-politics/2012/sep/19/poll-romney-losing-his-edge-economy/,
1,https://www.latimes.com/business/la-fi-nike-betsy-ross-flag-sneakers-kaepernick-20190702-story.html,https://reason.com/2019/07/02/betsy-ross-is-canceled/,https://www.wsj.com/articles/nike-nixes-betsy-ross-flag-sneaker-after-colin-kaepernick-intervenes-11562024126
2,https://www.cnn.com/2019/07/01/politics/tanks-july-4-washington/index.html,https://www.newsmax.com/politics/fourth-of-july-celebration-tanks-washington/2019/07/02/id/922935/,https://www.reuters.com/article/us-usa-trump-july4/trump-plans-tanks-and-flyovers-at-fourth-of-july-celebration-in-washington-idUSKCN1TW3WN
3,https://www.huffpost.com/entry/eddie-gallagher-navy-seal-verdict_n_5d1bcfd3e4b082e55371833b,https://www.dailymail.co.uk/news/article-7206793/Edward-Gallagher-NOT-GUILTY-murder.html,https://www.apnews.com/e3f009f195944d1f99b5c4ccd6bb31d2
4,"https://www.usatoday.com/story/news/politics/2019/07/04/justin-amash-says-hes-leaving-gop-4th-july-washington-post-oped/1647410001/
https://www.huffpost.com/entry/justin-amash-quits-republican-party-independence_n_5d1d7986e4b0f312567eb639",https://townhall.com/tipsheet/mattvespa/2019/07/04/see-ya-proimpeach-trump-congressman-justin-amash-announces-hes-done-with-the-gop-n2549539,
5,http://www.cnn.com/2012/09/19/us/us-fast-furious-report/index.html?hpt=hp_t3,http://www.washingtontimes.com/news/2012/sep/19/management-failures-cited-fast-and-furious-report/,http://online.wsj.com/article/SB10000872396390444620104578006290719533504.html?mod=WSJ_WSJ_US_News_5
6,https://www.politico.com/story/2019/07/02/trump-july-4-event-tv-1395474,https://www.washingtonexaminer.com/news/msnbc-refuses-to-air-trump-fourth-of-july-event-live,https://thehill.com/homenews/media/451453-msnbc-wont-air-trumps-july-4th-event-live
7,"http://www.washingtonpost.com/world/national-security/justice-ig-critical-of-atf-in-gun-operation/2012/09/19/379daf18-0273-11e2-8102-ebee9c66e190_story.html
http://www.cnn.com/2012/09/19/us/us-fast-furious-report/index.html?hpt=po_c2",http://townhall.com/tipsheet/KatiePavlich/2012/09/19/eric_holder_does_a_victory_dance_around_fast_and_furious,
8,https://www.huffpost.com/entry/trump-citizenship-question-2020-census_n_5d1bd769e4b082e553718d6b,https://www.washingtontimes.com/news/2019/jul/2/trump-drops-push-citizenship-question-2020-census/,https://www.wsj.com/articles/u-s-to-drop-citizenship-question-from-census-11562101086
9,https://www.bloomberg.com/news/articles/2019-07-02/u-s-wage-and-job-growth-are-slowing-new-report-warns,https://www.washingtonexaminer.com/business/what-job-growth-in-june-can-reveal-about-a-fed-rate-cut-in-july,https://www.cnbc.com/2019/07/03/jobs-data-could-show-slowing-trend-and-prompt-the-fed-to-cut-rates.html
10,https://www.politico.com/story/2019/07/04/trump-fourth-mall-1398968,https://www.newsmax.com/politics/trump-july4/2019/07/04/id/923353/,https://www.bbc.com/news/world-us-canada-48877172
11,https://www.cnn.com/2019/07/05/economy/june-jobs-report/index.html,https://www.foxbusiness.com/economy/june-jobs-report-2019,https://www.wsj.com/articles/u-s-job-creation-bounced-back-in-june-11562330095
12,https://www.nytimes.com/2019/07/03/opinion/trump-supreme-court-census.html,https://www.wsj.com/articles/how-to-put-citizenship-back-in-the-census-11562264430,https://www.bbc.com/news/world-us-canada-48863408
13,https://www.nytimes.com/2019/07/03/opinion/trump-parade-fourth-of-july.html?action=click&module=Opinion&pgtype=Homepage,https://www.nationalreview.com/2019/07/independence-day-freedom-celebrations/,https://www.wsj.com/articles/trump-and-critics-prepare-for-july-4-show-of-a-lifetime-11562232601
14,https://www.cnn.com/2019/07/05/us/california-earthquake/index.html,https://nypost.com/2019/07/05/california-hit-by-second-significant-earthquake-in-as-many-days/,https://www.wsj.com/articles/california-assesses-damage-after-second-powerful-earthquake-hits-11562424214?mod=hp_lead_pos1
15,https://www.nytimes.com/2019/07/07/world/middleeast/iran-nuclear-limits-breach.html?action=click&module=Top%20Stories&pgtype=Homepage,https://www.washingtontimes.com/news/2019/jul/7/iran-raises-uranium-enrichment-nuclear-deal-unrave/,https://www.wsj.com/articles/iran-to-enrich-uranium-beyond-nuclear-deal-limits-11562483348?mod=hp_lead_pos2
16,https://www.azcentral.com/story/opinion/op-ed/ej-montini/2019/07/07/dump-dumpstarbucks-hastag-over-tempe-cops-incident/1669191001/,https://www.foxnews.com/opinion/charlie-kirk-starbucks-engages-in-intolerable-discrimination-against-police,https://thehill.com/opinion/criminal-justice/451920-good-cop-bad-cop-and-the-starbucks-incident
17,https://www.nbcnews.com/news/world/japan-resume-commercial-whaling-n1025046,https://nypost.com/2019/07/01/japan-resumes-commercial-whale-hunts-for-first-time-in-three-decades/,https://www.bbc.com/news/world-asia-48821797
